AnimalNo,WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
2508,148,154,210,185,62,98,53,40,200,242,20,44,598
251,151,155,200,161,69,96,44,38,195,238,24,49,598
2368,158,164,229,178,65,100,50,39,201,248,24,50,599
2056,143,150,210,176,54,94,42,36,200,259,20,44,599
2486,152,156,202,173,67,100,42,40,215,255,20,47,600
2850,156,162,220,184,67,103,49,41,200,247,21,57,600
8699,153,165,223,186,66,98,49,40,204,243,21,54,600
7388,145,148,206,180,54,99,51,38,203,246,20,49,600
2954,159,164,212,167,72,102,44,39,203,246,22,47,600
7109,148,159,205,173,64,100,48,30,203,248,21,47,600
2748,146,153,208,180,60,95,48,39,194,246,21,49,600
3464,156,163,188,171,69,96,45,43,200,234,21,45,600
7058,158,167,209,171,65,113,48,41,220,257,20,45,601
3805,159,169,209,186,70,101,43,43,213,245,20,46,601
3489,152,159,231,186,69,104,40,36,199,252,20,45,601
3131,149,160,210,188,68,93,45,40,201,243,20,53,601
197,156,164,203,177,71,100,47,36,213,254,19,49,602
4302,153,165,220,179,68,96,50,41,205,244,21,52,602
3252,149,159,216,180,67,98,55,35,199,250,20,45,602
3221,154,164,209,179,71,100,49,31,207,256,19,47,603
2475,154,161,223,183,65,102,48,35,201,249,19,47,603
7814,147,152,202,175,62,104,40,42,212,238,22,47,603
118,149,158,214,169,69,101,42,35,209,257,23,53,604
3055,146,161,220,179,62,95,40,49,196,257,20,46,604
131,145,157,207,168,62,95,43,35,209,255,19,47,604
3653,159,168,205,185,72,99,50,36,198,245,21,46,604
2996,148,154,216,162,65,94,43,38,204,247,22,53,604
8132,144,151,204,175,60,96,40,39,192,247,19,44,604
4104,153,163,185,179,65,105,41,44,202,246,20,47,605
4064,155,160,201,175,66,100,40,35,201,252,19,44,605
511,152,157,217,175,78,100,40,39,209,238,21,47,605
3454,153,167,222,184,72,100,48,41,198,247,20,59,606
2129,147,158,218,174,62,94,43,38,201,252,20,48,606
2359,148,159,205,183,62,102,50,37,195,246,21,54,606
3936,158,169,196,182,70,97,47,35,201,241,20,46,606
7117,147,155,212,180,62,100,38,34,199,244,20,45,606
3858,159,163,210,165,69,98,54,41,204,244,21,45,607
3274,156,156,195,175,70,91,42,42,199,249,20,46,607
254,155,173,207,164,72,97,44,38,209,246,23,52,608
2909,153,162,218,180,67,102,44,38,204,262,21,51,609
2945,152,163,224,186,66,100,48,37,199,244,20,52,609
2744,150,159,212,185,64,95,50,37,201,243,21,47,609
2753,159,158,216,165,66,105,41,37,206,233,20,49,609
7775,159,163,228,168,63,96,51,42,203,256,20,56,610
2104,147,156,220,180,65,103,44,39,203,254,20,52,611
8217,157,163,221,183,71,99,42,38,200,239,20,45,611
2370,145,153,223,173,56,99,48,34,206,257,20,49,612
2639,156,168,222,188,67,99,45,40,212,252,21,58,613
2696,147,153,212,174,61,99,39,39,199,268,20,42,613
8016,149,158,208,178,62,103,40,33,201,254,20,43,613
2577,153,163,217,168,70,102,40,39,206,246,20,48,613
7881,142,162,230,186,69,95,43,40,198,244,21,46,613
2572,152,161,215,183,61,99,49,38,216,259,21,42,614
268,164,170,225,168,78,116,50,38,217,256,23,48,614
3555,146,159,216,176,61,105,46,43,209,240,20,47,614
7873,148,154,225,170,60,95,47,38,205,253,23,50,615
3889,155,168,217,189,68,96,49,41,202,247,19,45,615
3336,153,161,216,181,66,103,42,39,204,244,20,43,615
2356,152,156,189,174,60,95,49,33,200,260,19,44,616
2514,150,156,218,174,63,103,42,40,200,236,20,45,616
3601,149,163,210,182,67,100,46,41,204,260,21,59,617
3723,155,167,204,184,80,96,55,37,220,250,20,50,617
8621,143,146,214,162,55,100,47,36,203,252,19,49,617
3264,150,166,218,184,67,96,41,38,201,252,19,46,618
3947,160,165,187,180,74,105,42,37,212,244,20,45,619
8436,152,160,222,176,65,101,40,35,205,241,20,49,619
8498,147,158,222,181,63,108,47,41,210,252,21,55,620
4041,155,165,220,185,70,101,46,36,205,250,21,51,620
2095,144,152,218,184,63,100,44,33,201,256,21,54,620
3955,156,168,188,173,69,105,43,36,205,239,21,46,620
3181,154,164,222,184,66,101,52,38,207,253,21,62,621
2181,150,162,231,186,69,98,54,38,207,249,21,47,621
2987,155,167,228,198,68,104,48,40,210,254,21,54,622
2956,152,165,220,163,68,95,48,38,205,255,21,51,622
3170,154,165,216,179,66,98,53,35,210,247,21,53,623
4290,160,176,224,194,74,107,46,39,205,237,21,55,623
2913,158,166,224,179,70,100,53,36,206,245,21,47,624
4253,153,155,210,175,62,102,50,47,210,259,19,43,625
4113,152,162,214,180,69,94,42,32,216,248,20,59,625
3786,160,174,228,184,72,105,50,43,207,240,19,51,625
7354,149,153,206,168,54,105,51,36,210,253,20,46,626
3535,155,165,225,185,71,94,47,41,204,246,21,58,626
3155,158,163,221,172,69,92,47,42,209,247,20,47,627
8493,144,152,215,172,57,101,48,33,203,258,19,45,627
2166,156,165,223,193,67,101,50,38,208,247,21,57,628
