WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
156,168,220,183,70,91,44,41,200,242,20,50,595
154,161,210,187,64,95,48,39,198,239,22,52,595
151,164,215,182,72,95,41,39,205,257,21,44,596
156,160,212,198,69,98,43,36,202,246,21,51,596
145,155,210,174,61,98,45,32,200,241,20,47,596
151,166,200,170,70,97,45,32,198,241,19,49,596
150,161,204,192,64,102,47,41,203,250,20,53,597
161,172,215,193,72,102,43,39,204,244,21,52,597
153,164,205,181,64,100,47,41,198,242,22,47,597
155,159,204,194,68,99,48,41,197,252,22,55,598
158,163,230,175,67,105,51,34,211,236,20,46,598
148,154,210,185,62,98,53,40,200,242,20,44,598
152,156,202,173,67,100,42,40,215,255,20,47,600
156,162,220,184,67,103,49,41,200,247,21,57,600
159,164,212,167,72,102,44,39,203,246,22,47,600
146,153,208,180,60,95,48,39,194,246,21,49,600
156,163,188,171,69,96,45,43,200,234,21,45,600
159,169,209,186,70,101,43,43,213,245,20,46,601
152,159,231,186,69,104,40,36,199,252,20,45,601
149,160,210,188,68,93,45,40,201,243,20,53,601
153,165,220,179,68,96,50,41,205,244,21,52,602
149,159,216,180,67,98,55,35,199,250,20,45,602
154,164,209,179,71,100,49,31,207,256,19,47,603
154,161,223,183,65,102,48,35,201,249,19,47,603
159,168,205,185,72,99,50,36,198,245,21,46,604
148,154,216,162,65,94,43,38,204,247,22,53,604
153,163,185,179,65,105,41,44,202,246,20,47,605
155,160,201,175,66,100,40,35,201,252,19,44,605
153,167,222,184,72,100,48,41,198,247,20,59,606
147,158,218,174,62,94,43,38,201,252,20,48,606
148,159,205,183,62,102,50,37,195,246,21,54,606
158,169,196,182,70,97,47,35,201,241,20,46,606
159,163,210,165,69,98,54,41,204,244,21,45,607
156,156,195,175,70,91,42,42,199,249,20,46,607
153,162,218,180,67,102,44,38,204,262,21,51,609
152,163,224,186,66,100,48,37,199,244,20,52,609
150,159,212,185,64,95,50,37,201,243,21,47,609
159,158,216,165,66,105,41,37,206,233,20,49,609
147,156,220,180,65,103,44,39,203,254,20,52,611
145,153,223,173,56,99,48,34,206,257,20,49,612
156,168,222,188,67,99,45,40,212,252,21,58,613
147,153,212,174,61,99,39,39,199,268,20,42,613
153,163,217,168,70,102,40,39,206,246,20,48,613
152,161,215,183,61,99,49,38,216,259,21,42,614
146,159,216,176,61,105,46,43,209,240,20,47,614
155,168,217,189,68,96,49,41,202,247,19,45,615
153,161,216,181,66,103,42,39,204,244,20,43,615
152,156,189,174,60,95,49,33,200,260,19,44,616
150,156,218,174,63,103,42,40,200,236,20,45,616
149,163,210,182,67,100,46,41,204,260,21,59,617
150,166,218,184,67,96,41,38,201,252,19,46,618
160,165,187,180,74,105,42,37,212,244,20,45,619
155,165,220,185,70,101,46,36,205,250,21,51,620
144,152,218,184,63,100,44,33,201,256,21,54,620
156,168,188,173,69,105,43,36,205,239,21,46,620
154,164,222,184,66,101,52,38,207,253,21,62,621
150,162,231,186,69,98,54,38,207,249,21,47,621
155,167,228,198,68,104,48,40,210,254,21,54,622
152,165,220,163,68,95,48,38,205,255,21,51,622
154,165,216,179,66,98,53,35,210,247,21,53,623
158,166,224,179,70,100,53,36,206,245,21,47,624
152,162,214,180,69,94,42,32,216,248,20,59,625
160,174,228,184,72,105,50,43,207,240,19,51,625
155,165,225,185,71,94,47,41,204,246,21,58,626
158,163,221,172,69,92,47,42,209,247,20,47,627
156,165,223,193,67,101,50,38,208,247,21,57,628
153,164,213,175,72,107,43,38,206,245,20,48,628
152,155,218,177,64,98,47,40,201,246,20,53,628
159,166,203,177,73,106,51,44,202,241,19,44,628
151,150,214,159,63,104,38,31,213,257,19,47,629
157,166,220,176,66,106,45,40,212,260,22,46,630
153,157,220,173,68,97,49,36,211,253,20,45,630
150,155,205,160,64,94,45,35,210,256,20,52,630
156,164,208,173,64,103,44,40,204,246,20,54,630
144,162,218,190,68,108,44,40,206,255,20,58,631
159,169,210,182,72,101,45,38,207,240,21,58,633
148,160,212,183,70,97,42,36,204,248,20,51,633
154,168,225,183,70,107,50,41,207,255,21,50,635
156,165,186,177,66,101,48,30,219,253,19,55,635
148,165,235,184,69,95,46,37,205,254,20,52,635
152,163,215,191,71,106,53,37,213,264,21,51,638
163,170,200,179,68,103,52,38,208,249,20,45,638
154,166,214,188,69,100,47,37,201,254,19,52,638
154,158,223,172,65,100,42,37,208,264,21,49,640
154,163,215,172,61,106,49,37,216,246,22,50,640
152,168,212,185,75,101,43,39,206,254,22,48,640
157,172,210,170,70,100,44,37,205,245,20,52,640
151,164,222,194,71,98,47,42,204,245,21,44,640
157,167,212,180,70,102,49,39,201,240,20,48,640
156,163,211,183,65,103,48,36,218,260,19,47,642
162,170,210,168,74,103,53,43,210,243,21,48,642
147,158,240,175,66,97,44,40,201,250,20,44,642
162,166,202,185,74,104,52,42,207,248,20,44,643
141,156,216,175,64,94,47,36,198,256,21,48,644
148,163,212,192,65,99,58,43,206,243,21,48,647
152,157,217,179,65,103,41,40,208,244,20,46,648
155,164,216,187,72,101,43,41,210,253,20,45,649
153,164,227,179,65,98,47,43,210,253,20,47,650
152,161,217,179,64,100,47,37,215,257,19,46,652
152,161,212,178,64,98,54,39,212,250,20,46,652
159,167,201,183,69,108,52,44,210,240,19,48,652
153,158,230,190,68,99,45,42,205,260,20,57,653
156,165,198,183,68,104,46,39,207,257,21,48,653
150,168,209,178,69,102,45,38,208,249,20,52,653
161,170,233,194,73,105,50,42,209,257,20,56,654
150,155,205,180,66,109,50,40,205,255,21,48,654
150,160,219,183,62,103,45,37,208,241,22,46,654
160,166,196,174,64,105,43,42,209,243,20,45,655
151,157,208,175,56,100,54,35,205,261,20,46,656
149,162,208,170,62,104,43,41,210,251,19,58,656
159,161,207,189,73,103,46,43,205,246,20,47,656
156,165,210,190,73,98,52,41,204,244,20,51,656
162,170,212,187,69,106,47,43,216,255,21,58,657
157,165,235,195,65,106,53,42,207,249,21,62,657
152,161,232,183,64,102,44,35,202,247,21,55,657
156,159,218,175,69,102,45,43,212,255,20,52,658
151,167,210,182,68,102,43,36,206,253,21,49,658
159,168,203,185,68,102,45,39,207,255,19,52,659
153,157,214,176,55,106,50,36,213,251,20,48,659
155,168,225,178,69,101,50,36,208,251,20,49,660
162,171,218,184,74,108,48,41,215,253,22,54,662
152,162,207,190,63,93,43,38,201,244,21,47,662
153,163,197,182,60,101,47,40,217,254,22,48,663
149,160,216,180,63,99,54,43,204,260,21,46,663
150,156,205,176,57,105,53,37,206,265,19,44,664
152,163,220,173,64,100,49,39,204,250,19,45,665
150,162,221,173,56,95,43,37,212,253,22,50,666
142,162,218,185,59,102,47,41,210,248,22,55,668
158,168,214,195,74,103,43,43,206,255,20,51,669
158,163,223,177,62,106,50,43,212,260,19,49,671
158,165,210,181,65,102,51,34,217,250,20,45,672
152,162,220,180,65,104,43,37,207,250,19,44,674
150,169,228,187,61,106,43,41,207,255,19,55,675
159,166,225,183,71,108,50,39,209,268,21,52,678
161,164,230,178,72,105,46,37,204,248,19,53,679
153,162,225,185,64,102,49,41,208,252,22,53,680
142,158,215,185,60,102,50,38,208,272,22,47,681
151,158,191,184,60,103,48,33,216,259,20,53,682
152,165,222,185,64,107,52,38,212,266,21,54,684
162,169,208,187,66,101,51,45,211,262,20,45,684
157,164,227,183,68,104,52,45,211,263,20,61,685
166,172,240,195,74,111,56,43,215,253,22,58,686
163,172,219,184,73,101,50,39,204,261,21,58,692
148,155,212,181,72,98,53,37,207,262,21,57,692
163,175,221,197,72,102,55,46,212,250,21,53,693
147,150,225,185,60,94,47,39,210,258,19,51,695
148,159,199,184,58,100,57,39,208,262,21,44,696
156,164,215,175,64,108,49,36,220,265,20,53,698
158,171,221,179,61,106,53,40,213,249,20,57,698
154,166,220,193,63,100,47,36,210,248,22,55,698
159,161,224,177,62,103,50,36,208,255,21,49,698
161,172,224,179,70,105,56,41,219,262,20,45,701
152,163,240,189,60,105,51,45,216,255,21,47,701
161,172,225,184,69,101,56,46,224,259,21,54,702
155,164,215,186,70,95,50,41,210,260,19,48,702
154,166,231,200,68,104,45,38,210,262,22,55,705
156,166,220,190,60,100,45,40,220,251,19,57,705
164,172,223,189,69,103,50,42,208,259,21,60,706
154,168,220,185,63,112,53,40,215,267,21,56,707
152,163,230,178,62,103,55,39,216,263,20,46,708
158,162,206,173,57,105,51,39,220,265,19,45,709
150,169,224,195,71,100,48,41,213,265,22,49,709
151,156,198,185,69,103,48,40,214,265,20,50,714
155,160,200,181,58,105,44,41,218,252,21,45,715
